Sentence Index,Sentence
1546,   Revocation order NTC order Company amend draft PrePaid Mobile Service Agreement validity prepaid service Litigant AIS NBTC Secretary General NBTC submit date    Tribunal     Ma y
1547,Central Administrative Court       D ecember
1548,Supreme Administrative Court Dispute Topic NTC currently NBTC prohibit AIS specify validity term prepaid mobile service agreement order AIS revise draft prepaid mobile service agreement condition regard validity term
1549,AIS file lawsuit Central Administrative Court seek revoke order NBTC order Company amend draft PrePaid Mobile Service Agreement prohibit condition concern validity term
1550,result case    November    Central Administrative Court dismiss case file AIS reason case file available prescription  
1551,delay case subject reasonable cause case file behalf public interest benefit AIS plaintiff
1552,order issue NTC follow announcement Central Admin Court pass judgment announcement remain force revoke order issue subject announcement legitimate Status Case    December    AIS appeal Supreme Administrative Court       April    Supreme Administrative Court uphold judgement Central Administrative Court case reach final judication Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1553,GovernanceManagement StructureInternal ControlFinancial Statement Revocation announcement NBTC Temporary Subscribers Protection expiration concession period Litigant AIS NBTC submit date    Tribunal     D ecember
1554,Central Administrative Court      o ctober
1555,Supreme Administrative Court Dispute Topic AIS file lawsuit Central Administrative Court request revocation announcement NBTC Temporary Subscribers Protection nd IssueAfter Expiration Concession period new announcement specify additional condition pay revenue remedy period share incur subject mhz Concession Agreement    base fact new announcement unfair enforce selectively compare previous announcement specify condition  
1556,result case    September    Central Administrative Court decide revoke NBTCs announcement regard minimum remuneration revenue share subject Concession    Agreement  
1557,Status Case    October    NBTC submit appeal Supreme Administrative Court
1558,case consideration Supreme Administrative Court
1559,   Revocation resolution NTC order AIS pay revenue subscriber protection period Litigant AIS NBTC office NBTC NTC submit date    Tribunal     Ma y    Central Administrative Court      July    t Supreme Administrative Court Dispute Topic AIS file lawsuit NBTC office NBTC NTC Central Administrative Court revoke order NBTC Office resolution NTC order AIS pay revenue subscriber protection period expiration Concession Agreement October    June     accordance NBTC Temporary Customer Protection Plan Baht    Million include default interest date filing    million baht
1560,AIS high expense revenue protection period subscriber    MHz frequency remain revenue pay NBTC Office  
1561,result case    Jun    Central Administrative Court pass judgment revoke NBTC committee resolution reason protection period    mhz user AIS high expense service income receive
1562,Status Case July     NBTC file appeal Supreme Administrative Court
1563,case consideration Supreme Administrative Court Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1564,GovernanceManagement StructureInternal ControlFinancial Statement Revocation resolution order NTC pay revenue arise mobile service charge temporary customer protection period Litigant DPC NBTC Office NTC NBTC submit date    Tribunal     vember
1565,Central Administrative Court      April
1566,t Supreme Central Administrative Court Dispute Topic
1567,   September    NBTC Secretary General NBTC file lawsuit Central Administrative Court request DPC pay share revenue generate remedy period
1568,   period commence coming effect Subscribers Protection Period subject NBTCs announcement regard Temporary Customer Protection Plan    date order issue National Council Peace Order NCPO
1569,period cover    September       July
1570,requested Baht    million include incurred interest
1571,   DPC submit lawsuit Central Administrative Court request revocation resolution order NBTC pay revenue arise mobile service charge temporary    customer protection period
1572,period question follow announcement NBTC Temporary Customer Protection Plan cover    September       July    Period
1573,request baht    million interest accrue therefrom
